,Franchise,averageRating,Above 7.5,7.5 and Below
0,The Lord of the Rings,8.9,8.9,
1,The Godfather,8.6,8.6,
2,Star Wars: (Original Trilogy),8.533333333333333,8.533333333333333,
3,The Dark Knight Trilogy,8.533333333333333,8.533333333333333,
4,Dune,8.3,8.3,
5,Toy Story,8.166666666666666,8.166666666666666,
6,Kill Bill,8.1,8.1,
7,Monty Python,8.1,8.1,
8,Blade Runner,8.05,8.05,
9,Avengers,8.025,8.025,
10,Alien,7.966666666666666,7.966666666666666,
11,Back to the Future,7.899999999999999,7.899999999999999,
12,Three Flavours Cornetto,7.85,7.85,
13,Guardians of the Galaxy,7.833333333333333,7.833333333333333,
14,Bourne,7.833333333333333,7.833333333333333,
15,Star Trek,7.800000000000001,7.800000000000001,
16,Deadpool,7.8,7.8,
17,Avatar,7.7,7.7,
18,Harry Potter,7.6875,7.6875,
19,The Hobbit,7.666666666666667,7.666666666666667,
20,Spider-Man MCU,7.666666666666667,7.666666666666667,
21,The Terminator (Original),7.666666666666667,7.666666666666667,
22,"Monsters, Inc.",7.65,7.65,
23,Batman,7.65,7.65,
24,Die Hard,7.633333333333333,7.633333333333333,
25,Shrek (Original and Sequels),7.6,7.6,
26,Planet of the Apes,7.6,7.6,
27,Indiana Jones,7.575,7.575,
28,Top Gun,7.55,7.55,
29,The Matrix,7.533333333333334,7.533333333333334,
30,Sherlock Holmes,7.5,7.5,
31,Knives Out,7.5,7.5,
32,Captain America,7.466666666666666,,7.466666666666666
33,Despicable Me,7.449999999999999,,7.449999999999999
34,John Wick,7.400000000000001,,7.400000000000001
35,Jurassic Park,7.35,,7.35
36,Home Alone,7.300000000000001,,7.300000000000001
37,Pirates of the Caribbean,7.3,,7.3
38,Unbreakable,7.3,,7.3
39,Iron Man,7.3,,7.3
40,X-Men (Original Series),7.3,,7.3
41,James Bond,7.279999999999999,,7.279999999999999
42,Mission: Impossible,7.225,,7.225
43,Doctor Strange,7.2,,7.2
44,Fast and the Furious,7.133333333333333,,7.133333333333333
45,The Hunger Games,7.1000000000000005,,7.1000000000000005
46,X-Men (Wolverine),7.1000000000000005,,7.1000000000000005
47,The Hangover,7.1,,7.1
48,Ocean's Eleven,7.1,,7.1
49,21 Jump Street,7.1,,7.1
50,Ant-Man,7.1,,7.1
51,Spider-Man (Sam Raimi Trilogy),7.066666666666666,,7.066666666666666
52,Star Wars: (Sequel Trilogy),7.033333333333334,,7.033333333333334
53,Justice League,7.0,,7.0
54,Thor,6.975,,6.975
55,Star Wars: (Prequel Trilogy),6.9,,6.9
56,(Monsterverse*) Godzilla and King Kong,6.800000000000001,,6.800000000000001
57,Superman,6.8,,6.8
58,Men in Black,6.766666666666667,,6.766666666666667
59,Spider-Man (Marc Webb),6.75,,6.75
60,Suicide Squad,6.550000000000001,,6.550000000000001
61,Transformers,6.4,,6.4
