,Franchise,Film,date
0,Marvel's Cinematic Universe,Iron Man,2008
1,Marvel's Cinematic Universe,The Incredible Hulk,2008
2,Marvel's Cinematic Universe,Iron Man 2,2010
3,Marvel's Cinematic Universe,Thor,2011
4,Marvel's Cinematic Universe,Captain America: The First Avenger,2011
5,Marvel's Cinematic Universe,The Avengers,2012
6,Marvel's Cinematic Universe,Iron Man 3,2013
7,Marvel's Cinematic Universe,Thor: The Dark World,2013
8,Marvel's Cinematic Universe,Captain America: The Winter Soldier,2014
9,Marvel's Cinematic Universe,Guardians of the Galaxy,2014
10,Marvel's Cinematic Universe,Avengers: Age of Ultron,2015
11,Marvel's Cinematic Universe,Ant-Man,2015
12,Marvel's Cinematic Universe,Captain America: Civil War,2016
13,Marvel's Cinematic Universe,Doctor Strange,2016
14,Marvel's Cinematic Universe,Guardians of the Galaxy Vol. 2,2017
15,Marvel's Cinematic Universe,Spider-Man: Homecoming,2017
16,Marvel's Cinematic Universe,Thor: Ragnarok,2017
17,Marvel's Cinematic Universe,Black Panther,2018
18,Marvel's Cinematic Universe,Avengers: Infinity War,2018
19,Marvel's Cinematic Universe,Ant-Man and the Wasp,2018
20,Marvel's Cinematic Universe,Captain Marvel,2019
21,Marvel's Cinematic Universe,Avengers: Endgame,2019
22,Marvel's Cinematic Universe,Spider-Man: Far from Home,2019
23,Marvel's Cinematic Universe,Black Widow,2021
24,Marvel's Cinematic Universe,Shang-Chi and the Legend of the Ten Rings,2021
25,Marvel's Cinematic Universe,Eternals,2021
26,Marvel's Cinematic Universe,Spider-Man: No Way Home,2021
27,Marvel's Cinematic Universe,Doctor Strange in the Multiverse of Madness,2022
28,Marvel's Cinematic Universe,Thor: Love and Thunder,2022
29,Marvel's Cinematic Universe,Black Panther: Wakanda Forever,2022
30,Marvel's Cinematic Universe,Ant-Man and the Wasp: Quantumania,2023
31,Marvel's Cinematic Universe,Guardians of the Galaxy Vol. 3,2023
32,Marvel's Cinematic Universe,The Marvels,2023
33,Pixar-Disney Animations,Toy Story,1995
34,Pixar-Disney Animations,Toy Story 2,1999
35,Pixar-Disney Animations,Toy Story 3,2010
36,Pixar-Disney Animations,Toy Story 4,2019
37,Pixar-Disney Animations,Lightyear   - prequel,2022
38,Pixar-Disney Animations,"Monsters, Inc.",2001
39,Pixar-Disney Animations,Monsters University,2013
40,Pixar-Disney Animations,Finding Nemo,2003
41,Pixar-Disney Animations,Finding Dory,2016
42,Pixar-Disney Animations,Cars,2006
43,Pixar-Disney Animations,Cars 2,2011
44,Pixar-Disney Animations,Cars 3,2017
45,Pixar-Disney Animations,The Incredibles,2004
46,Pixar-Disney Animations,Incredibles 2,2018
47,Pixar-Disney Animations,A Bug's Life,1998
48,Pixar-Disney Animations,Ratatouille,2007
49,Pixar-Disney Animations,WALL-E,2008
50,Pixar-Disney Animations,Up,2009
51,Pixar-Disney Animations,Brave,2012
52,Pixar-Disney Animations,Inside Out,2015
53,Pixar-Disney Animations,The Good Dinosaur,2015
54,Pixar-Disney Animations,Coco,2017
55,Pixar-Disney Animations,Onward,2020
56,Pixar-Disney Animations,Soul,2020
57,Pixar-Disney Animations,Luca,2021
58,Pixar-Disney Animations,Turning Red,2022
59,Pixar-Disney Animations,Elemental,2023
60,Star Wars: (Original Trilogy),Star Wars: Episode VII - The Force Awakens,2015
61,Star Wars: (Original Trilogy),Star Wars,1977
