,averageRating,numVotes,Film,date,genres
0,9.3,2908911,The Shawshank Redemption,1994,Drama
1,9.2,2027049,The Godfather,1972,"Crime,Drama"
2,9.0,872287,12 Angry Men,1957,"Crime,Drama"
3,9.0,1372606,The Godfather Part II,1974,"Crime,Drama"
4,9.0,1460481,Schindler's List,1993,"Biography,Drama,History"
5,9.0,1991975,The Lord of the Rings: The Return of the King,2003,"Action,Adventure,Drama"
6,9.0,2890098,The Dark Knight,2008,"Action,Crime,Drama"
7,8.9,2020423,The Lord of the Rings: The Fellowship of the Ring,2001,"Action,Adventure,Drama"
8,8.9,2236052,Pulp Fiction,1994,"Crime,Drama"
9,8.8,2274178,Forrest Gump,1994,"Drama,Romance"
10,8.8,2567778,Inception,2010,"Action,Adventure,Sci-Fi"
11,8.8,1795783,The Lord of the Rings: The Two Towers,2002,"Action,Adventure,Drama"
12,8.8,815988,"Il buono, il brutto, il cattivo",1966,"Adventure,Drama,Western"
13,8.8,2342094,Fight Club,1999,Drama
14,8.7,2067275,The Matrix,1999,"Action,Sci-Fi"
15,8.7,2122961,Interstellar,2014,"Adventure,Drama,Sci-Fi"
16,8.7,1077759,One Flew Over the Cuckoo's Nest,1975,Drama
17,8.7,1265939,Goodfellas,1990,"Biography,Crime,Drama"
18,8.7,1388685,Star Wars: Episode V - The Empire Strikes Back,1980,"Action,Adventure,Fantasy"
19,8.6,1559071,The Silence of the Lambs,1991,"Crime,Drama,Thriller"
20,8.6,1181174,Terminator 2: Judgment Day,1991,"Action,Adventure,Sci-Fi"
21,8.6,1506806,Saving Private Ryan,1998,"Drama,War"
22,8.6,574547,The Kashmir Files,2022,Drama
23,8.6,1812006,Se7en,1995,"Crime,Drama,Mystery"
24,8.6,747393,La vita Ã¨ bella,1997,"Comedy,Drama,Romance"
25,8.6,805369,Cidade de Deus,2002,"Crime,Drama"
26,8.6,1417414,The Green Mile,1999,"Crime,Drama,Fantasy"
27,8.6,1458330,Star Wars,1977,"Action,Adventure,Fantasy"
28,8.6,501636,It's a Wonderful Life,1946,"Drama,Family,Fantasy"
29,8.6,456943,Dune: Part Two,2024,"Action,Adventure,Drama"
30,8.6,857300,Sen to Chihiro no kamikakushi,2001,"Adventure,Animation,Family"
31,8.5,1151078,The Usual Suspects,1995,"Crime,Drama,Mystery"
32,8.5,1631926,Gladiator,2000,"Action,Adventure,Drama"
33,8.5,1192145,American History X,1998,"Crime,Drama"
34,8.5,1149881,The Lion King,1994,"Adventure,Animation,Drama"
35,8.5,1708139,Django Unchained,2012,"Comedy,Drama,Western"
36,8.5,722668,Psycho,1960,"Horror,Mystery,Thriller"
37,8.5,972228,Gisaengchung,2019,"Drama,Thriller"
38,8.5,935402,Intouchables,2011,"Comedy,Drama"
39,8.5,1253434,LÃ©on,1994,"Action,Crime,Drama"
40,8.5,525322,Rear Window,1954,"Mystery,Thriller"
41,8.5,1315965,Back to the Future,1985,"Adventure,Comedy,Sci-Fi"
42,8.5,1000339,Whiplash,2014,"Drama,Music"
43,8.5,919659,The Pianist,2002,"Biography,Drama,Music"
44,8.5,608970,Casablanca,1942,"Drama,Romance,War"
45,8.5,1430695,The Departed,2006,"Crime,Drama,Thriller"
46,8.5,1450347,The Prestige,2006,"Drama,Mystery,Sci-Fi"
47,8.5,957958,Alien,1979,"Horror,Sci-Fi"
48,8.4,412486,Das Leben der Anderen,2006,"Drama,Mystery,Thriller"
49,8.4,679068,Spider-Man: Into the Spider-Verse,2018,"Action,Adventure,Animation"
50,8.4,430690,Amadeus,1984,"Biography,Drama,Music"
51,8.4,437867,3 Idiots,2009,"Comedy,Drama"
52,8.4,1041727,Raiders of the Lost Ark,1981,"Action,Adventure"
53,8.4,1113928,The Shining,1980,"Drama,Horror"
54,8.4,714367,Apocalypse Now,1979,"Drama,Mystery,War"
55,8.4,767684,Aliens,1986,"Action,Adventure,Sci-Fi"
56,8.4,1214300,Avengers: Infinity War,2018,"Action,Adventure,Sci-Fi"
57,8.4,1838623,The Dark Knight Rises,2012,"Action,Drama,Thriller"
58,8.4,1596889,Inglourious Basterds,2009,"Adventure,Drama,War"
59,8.4,597916,Coco,2017,"Adventure,Animation,Drama"
60,8.4,1505474,Joker,2019,"Crime,Drama,Thriller"
61,8.4,1277659,Avengers: Endgame,2019,"Action,Adventure,Drama"
62,8.4,1330097,Memento,2000,"Mystery,Thriller"
63,8.4,1207606,WALLÂ·E,2008,"Adventure,Animation,Family"
64,8.3,794490,Full Metal Jacket,1987,"Drama,War"
65,8.3,724096,Heat,1995,"Action,Crime,Drama"
66,8.3,885217,A Clockwork Orange,1971,"Crime,Sci-Fi"
67,8.3,723742,2001: A Space Odyssey,1968,"Adventure,Sci-Fi"
68,8.3,903519,Requiem for a Dream,2000,Drama
69,8.3,758364,Oppenheimer,2023,"Biography,Drama,History"
70,8.3,797338,Le fabuleux destin d'AmÃ©lie Poulain,2001,"Comedy,Romance"
71,8.3,922788,Scarface,1983,"Crime,Drama"
72,8.3,897216,Toy Story 3,2010,"Adventure,Animation,Comedy"
73,8.3,520594,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Comedy,War"
74,8.3,1132297,Up,2009,"Adventure,Animation,Comedy"
75,8.3,1094213,Reservoir Dogs,1992,"Crime,Thriller"
76,8.3,467829,Citizen Kane,1941,"Drama,Mystery"
77,8.3,640839,Oldeuboi,2003,"Action,Drama,Mystery"
78,8.3,1127872,Star Wars: Episode VI - Return of the Jedi,1983,"Action,Adventure,Fantasy"
79,8.3,437023,Mononoke-hime,1997,"Action,Adventure,Animation"
