Franchise,averageRating
The Lord of the Rings,8.9
The Godfather,8.6
Star Wars: (Original Trilogy),8.533333333333333
The Dark Knight Trilogy,8.533333333333333
Dune,8.3
Toy Story,8.166666666666666
Kill Bill,8.1
Monty Python,8.1
Blade Runner,8.05
Avengers,8.025
Alien,7.966666666666666
Back to the Future,7.8999999999999995
Three Flavours Cornetto,7.85
Guardians of the Galaxy,7.833333333333333
Bourne,7.833333333333333
Star Trek,7.800000000000001
Deadpool,7.8
Avatar,7.7
Harry Potter,7.6875
The Hobbit,7.666666666666667
Spider-Man MCU,7.666666666666667
The Terminator (Original),7.666666666666667
"Monsters, Inc.",7.65
Batman,7.65
Die Hard,7.633333333333333
Shrek (Original and Sequels),7.6
Planet of the Apes,7.6
Indiana Jones,7.575
Top Gun,7.55
The Matrix,7.533333333333334
Sherlock Holmes,7.5
Knives Out,7.5
Captain America,7.466666666666666
Despicable Me,7.449999999999999
John Wick,7.400000000000001
Jurassic Park,7.35
Home Alone,7.300000000000001
Pirates of the Caribbean,7.3
Unbreakable,7.3
Iron Man,7.3
X-Men (Original Series),7.3
James Bond,7.279999999999999
Mission: Impossible,7.2250000000000005
Doctor Strange,7.2
Fast and the Furious,7.133333333333333
The Hunger Games,7.1000000000000005
X-Men (Wolverine),7.1000000000000005
The Hangover,7.1
Ocean's Eleven,7.1
21 Jump Street,7.1
Ant-Man,7.1
Spider-Man (Sam Raimi Trilogy),7.066666666666666
Star Wars: (Sequel Trilogy),7.033333333333334
Justice League,7.0
Thor,6.975
Star Wars: (Prequel Trilogy),6.8999999999999995
(Monsterverse*) Godzilla and King Kong,6.800000000000001
Superman,6.8
Men in Black,6.766666666666667
Spider-Man (Marc Webb),6.75
Suicide Squad,6.550000000000001
Transformers,6.3999999999999995
